TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 31bc69d5463a71851532bba6f39fad7
ERRORS:
**** Item %ALHAMBRA for user (FURAN) contains item 1179 sender from the same user ((FURAN))
**** Item %BURANO for user (BAARTOSZZ) contains item 1001 sender from the same user ((BAARTOSZZ))
**** Item %BYE_BYE_BLACK_SHEEP for user (BAARTOSZZ) contains item 1014 sender from the same user ((BAARTOSZZ))
**** Item %CITADELS for user (PALMEREX) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CITADELS for user (PALMEREX) is repeated in want list for 515.
**** Item %CITADELS for user (PALMEREX) is repeated in want list for 516.
**** Item %CITADELS for user (PALMEREX) is repeated in want list for 517.
**** Item %CITADELS for user (PALMEREX) is repeated in want list for 518.
**** Item %CITADELS for user (PALMEREX) is repeated in want list for 520.
**** Item %CITADELS for user (PALMEREX) is repeated in want list for 522.
**** Item %CITADELS for user (WARHIR) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CITADELS for user (WARHIR) is repeated in want list for 432.
**** Item %CITADELS for user (WARHIR) is repeated in want list for 433.
**** Item %CITADELS for user (WARHIR) is repeated in want list for 434.
**** Item %CRY_HAVOC for user (FURAN) is repeated in want list for 769.
**** Item %DEUS for user (BLEBOK) is repeated in want list for 970.
**** Item %ESCAPE_TALES__THE_AWAKENING for user (CZIKENPREDATOR) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %ESCAPE_TALES__THE_AWAKENING for user (CZIKENPREDATOR) is repeated in want list for 796.
**** Item %HERBALISM for user (BAARTOSZZ) contains item 1009 sender from the same user ((BAARTOSZZ))
**** Item %IMPERIAL_2030 for user (NARMO) is repeated in want list for 474.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 984.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 985.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 987.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 988.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 989.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 990.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 991.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 992.
**** Item %KEYFLOWER for user (KOJOTOS78) is repeated in want list for 994.
**** Item %MUNCHKIN_GLOOM for user (BAARTOSZZ) contains item 1018 sender from the same user ((BAARTOSZZ))
**** Item %MYSTERY_OF_THE_TEMPLES for user (BAARTOSZZ) contains item 1007 sender from the same user ((BAARTOSZZ))
**** Item %PACKET_ROW for user (FURAN) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %PACKET_ROW for user (FURAN) is repeated in want list for 728.
**** Item %PETRICHOR for user (BAARTOSZZ) contains item 1004 sender from the same user ((BAARTOSZZ))
**** Item %PHOTOSYNTHESIS for user (LOTHEG) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %PLANET_DEFENDERS for user (BAARTOSZZ) contains item 1005 sender from the same user ((BAARTOSZZ))
**** Item %ROUND_HOUSE for user (BAARTOSZZ) contains item 1002 sender from the same user ((BAARTOSZZ))
**** Item %RUTHLESS for user (BAARTOSZZ) contains item 1012 sender from the same user ((BAARTOSZZ))
**** Item %SHADOWS_IN_KYOTO for user (BAARTOSZZ) contains item 1008 sender from the same user ((BAARTOSZZ))
**** Item %SORCERER___STONES for user (BAARTOSZZ) contains item 1006 sender from the same user ((BAARTOSZZ))
**** Item %SÅ?OWNY_NINJA for user (BAARTOSZZ) contains item 1016 sender from the same user ((BAARTOSZZ))
**** Item %THE_FLOW_OF_HISTORY for user (BAARTOSZZ) contains item 1011 sender from the same user ((BAARTOSZZ))
**** Item %UE for user (KLOS_X) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %UE for user (KLOS_X) is repeated in want list for %P2 for user (KLOS_X).
**** Item %YETI for user (BAARTOSZZ) contains item 1010 sender from the same user ((BAARTOSZZ))
**** Item 1031 is repeated in want list for 211.
**** Item 1031 is repeated in want list for 212.
**** Item 1034 is repeated in want list for 668.
**** Item 1034 is repeated in want list for 670.
**** Item 1198 is repeated in want list for 211.
**** Item 1198 is repeated in want list for 212.
**** Item 1216 is repeated in want list for 211.
**** Item 1216 is repeated in want list for 212.
**** Item 1288 is repeated in want list for 891.
**** Item 211 is repeated in want list for 668.
**** Item 211 is repeated in want list for 670.
**** Item 232 is repeated in want list for 208.
**** Item 263 is repeated in want list for 308.
**** Item 299 is repeated in want list for 334.
**** Item 299 is repeated in want list for 335.
**** Item 299 is repeated in want list for 336.
**** Item 299 is repeated in want list for 337.
**** Item 667 is repeated in want list for 385.
**** Item 730 is repeated in want list for 428.
**** Unknown item 1135 (1 occurrence)
**** Unknown item 1136 (2 occurrences)
**** Unknown item 1137 (4 occurrences)
**** Unknown item 1138 (30 occurrences)
**** Unknown item 1139 (1 occurrence)
**** Unknown item 1145 (3 occurrences)
**** Unknown item 1256 (12 occurrences)
**** Unknown item 1257 (1 occurrence)
**** Unknown item 1261 (2 occurrences)
**** Unknown item 1263 (1 occurrence)
**** Unknown item 1265 (1 occurrence)
**** Unknown item 1266 (1 occurrence)
**** Unknown item 1268 (1 occurrence)
**** Unknown item 1269 (1 occurrence)
**** Unknown item 1271 (1 occurrence)
**** Unknown item 1272 (21 occurrences)
**** Unknown item 1273 (1 occurrence)
**** Unknown item 1282 (28 occurrences)
**** Unknown item 1285 (4 occurrences)
**** Unknown item 1286 (14 occurrences)
**** Unknown item 1287 (26 occurrences)
**** Unknown item 1290 (6 occurrences)
**** Unknown item 1291 (30 occurrences)
**** Unknown item 1294 (6 occurrences)
**** Unknown item 1295 (4 occurrences)
**** Unknown item 1311 (31 occurrences)
**** Unknown item 1312 (17 occurrences)
**** Unknown item 1313 (13 occurrences)
**** Unknown item 1314 (3 occurrences)
**** Unknown item 1315 (13 occurrences)
**** Unknown item 1376 (2 occurrences)
**** Unknown item 1377 (1 occurrence)
**** Unknown item 1378 (1 occurrence)
**** Unknown item 1379 (3 occurrences)
**** Unknown item 148 (31 occurrences)
**** Unknown item 150 (2 occurrences)
**** Unknown item 151 (3 occurrences)
**** Unknown item 153 (5 occurrences)
**** Unknown item 163 (61 occurrences)
**** Unknown item 369 (16 occurrences)
**** Unknown item 370 (14 occurrences)
**** Unknown item 375 (17 occurrences)
**** Unknown item 376 (40 occurrences)
**** Unknown item 378 (24 occurrences)
**** Unknown item 379 (2 occurrences)
**** Unknown item 380 (8 occurrences)
**** Unknown item 381 (55 occurrences)
**** Unknown item 387 (13 occurrences)
**** Unknown item 389 (2 occurrences)
**** Unknown item 390 (3 occurrences)
**** Unknown item 391 (3 occurrences)
**** Unknown item 395 (6 occurrences)
**** Unknown item 396 (2 occurrences)
**** Unknown item 449 (18 occurrences)
**** Unknown item 536 (5 occurrences)
**** Unknown item 537 (7 occurrences)
**** Unknown item 538 (3 occurrences)
**** Unknown item 568 (7 occurrences)
**** Unknown item 569 (11 occurrences)
**** Unknown item 570 (14 occurrences)
**** Unknown item 571 (17 occurrences)
**** Unknown item 572 (12 occurrences)
**** Unknown item 573 (9 occurrences)
**** Unknown item 574 (6 occurrences)
**** Unknown item 575 (3 occurrences)
**** Unknown item 576 (1 occurrence)
**** Unknown item 630 (33 occurrences)
**** Unknown item 631 (9 occurrences)
**** Unknown item 632 (16 occurrences)
**** Unknown item 633 (1 occurrence)

TRADE LOOPS (433 total trades):

(_AIS_) 960             receives (SOPART PL) 431
(SOPART PL) 431         receives (NIKOSIS) 459
(NIKOSIS) 459           receives (BLOOD_PET) 774
(BLOOD_PET) 774         receives (KRIONAH) 1151
(KRIONAH) 1151          receives (KDSZ) 737
(KDSZ) 737              receives (FIZOLOF) 185
(FIZOLOF) 185           receives (KOJOTOS78) 987
(KOJOTOS78) 987         receives (MICZI92) 162
(MICZI92) 162           receives (MEFIUG) 943
(MEFIUG) 943            receives (QBALDUS1) 99
(QBALDUS1) 99           receives (MALAWREDNARUDA) 417
(MALAWREDNARUDA) 417    receives (GRIMCLASH) 209
(GRIMCLASH) 209         receives (KASZKIET) 807
(KASZKIET) 807          receives (LYSYPK) 412
(LYSYPK) 412            receives (MALEKITH_86) 3
(MALEKITH_86) 3         receives (JAKOBIAN87) 1244
(JAKOBIAN87) 1244       receives (BLEBOK) 973
(BLEBOK) 973            receives (RAZUL) 356
(RAZUL) 356             receives (KYAL) 865
(KYAL) 865              receives (BSABIK) 1399
(BSABIK) 1399           receives (SZERYFGES) 586
(SZERYFGES) 586         receives (RUSS) 1380
(RUSS) 1380             receives (BARTP) 55
(BARTP) 55              receives (LOTHEG) 589
(LOTHEG) 589            receives (RUSS) 1381
(RUSS) 1381             receives (NARO) 811
(NARO) 811              receives (SZERYFGES) 587
(SZERYFGES) 587         receives (SIPIO) 605
(SIPIO) 605             receives (FORDY2) 440
(FORDY2) 440            receives (PUASHEY90) 1115
(PUASHEY90) 1115        receives (APIEJH) 1098
(APIEJH) 1098           receives (MEFIUG) 956
(MEFIUG) 956            receives (BARTP) 58
(BARTP) 58              receives (BAARTOSZZ) 1001
(BAARTOSZZ) 1001        receives (MEFIUG) 946
(MEFIUG) 946            receives (MARCIND) 1252
(MARCIND) 1252          receives (MUNCHHAUSEN) 891
(MUNCHHAUSEN) 891       receives (CORABB) 1025
(CORABB) 1025           receives (EQUILIBRIUMPL) 1046
(EQUILIBRIUMPL) 1046    receives (CINEK) 511
(CINEK) 511             receives (8JANEK8) 780
(8JANEK8) 780           receives (RAZUL) 134
(RAZUL) 134             receives (TIKTUK) 1297
(TIKTUK) 1297           receives (GRUCHA) 842
(GRUCHA) 842            receives (GURTH) 979
(GURTH) 979             receives (VDER) 952
(VDER) 952              receives (SOPART PL) 415
(SOPART PL) 415         receives (ANAMAN) 817
(ANAMAN) 817            receives (ALLADINALLADIN) 729
(ALLADINALLADIN) 729    receives (BARTP) 63
(BARTP) 63              receives (BRZYDALNAKIEL) 1174
(BRZYDALNAKIEL) 1174    receives (BAARTOSZZ) 1008
(BAARTOSZZ) 1008        receives (MEFIUG) 936
(MEFIUG) 936            receives (BOBULE) 305
(BOBULE) 305            receives (PROBBI) 1142
(PROBBI) 1142           receives (BARTP) 62
(BARTP) 62              receives (ALLADINALLADIN) 731
(ALLADINALLADIN) 731    receives (BARTP) 51
(BARTP) 51              receives (BAARTOSZZ) 1005
(BAARTOSZZ) 1005        receives (MNOWACZY) 826
(MNOWACZY) 826          receives (RAZUL) 118
(RAZUL) 118             receives (CACTUSSE) 1351
(CACTUSSE) 1351         receives (CHAABER) 747
(CHAABER) 747           receives (PTKW) 483
(PTKW) 483              receives (FREYA2226) 820
(FREYA2226) 820         receives (FORDY2) 439
(FORDY2) 439            receives (BLEBOK) 968
(BLEBOK) 968            receives (RAZUL) 340
(RAZUL) 340             receives (LIMPINGMAN) 847
(LIMPINGMAN) 847        receives (WARHIR) 432
(WARHIR) 432            receives (_AIS_) 961
(_AIS_) 961             receives (RAZUL) 135
(RAZUL) 135             receives (CZAJAX) 301
(CZAJAX) 301            receives (PERO PAMBARASCO) 829
(PERO PAMBARASCO) 829   receives (DR DOOM) 698
(DR DOOM) 698           receives (TUMINURE) 1105
(TUMINURE) 1105         receives (KARRIARI) 840
(KARRIARI) 840          receives (JAKOBIAN87) 1240
(JAKOBIAN87) 1240       receives (CINO) 532
(CINO) 532              receives (GWOLNY) 1078
(GWOLNY) 1078           receives (PTKW) 480
(PTKW) 480              receives (PUASHEY90) 1109
(PUASHEY90) 1109        receives (MUK83) 669
(MUK83) 669             receives (GRUCHA) 846
(GRUCHA) 846            receives (NARO) 813
(NARO) 813              receives (DENINIS) 1035
(DENINIS) 1035          receives (NIKOSIS) 460
(NIKOSIS) 460           receives (MEFIUG) 932
(MEFIUG) 932            receives (NEKKORU) 85
(NEKKORU) 85            receives (BLOOD_PET) 655
(BLOOD_PET) 655         receives (GRIMCLASH) 208
(GRIMCLASH) 208         receives (KLOS_X) 232
(KLOS_X) 232            receives (SYDONIAA) 96
(SYDONIAA) 96           receives (BAARTOSZZ) 1002
(BAARTOSZZ) 1002        receives (KARRIARI) 836
(KARRIARI) 836          receives (MARCIND) 1254
(MARCIND) 1254          receives (MUNCHHAUSEN) 893
(MUNCHHAUSEN) 893       receives (MCARON1) 482
(MCARON1) 482           receives (KOSHIASH) 547
(KOSHIASH) 547          receives (PTKW) 488
(PTKW) 488              receives (KOJOTOS78) 992
(KOJOTOS78) 992         receives (GRIMCLASH) 210
(GRIMCLASH) 210         receives (DETRYTUS) 784
(DETRYTUS) 784          receives (FINNAN) 794
(FINNAN) 794            receives (MEFIUG) 934
(MEFIUG) 934            receives (SWONICK) 821
(SWONICK) 821           receives (ARMIGER) 453
(ARMIGER) 453           receives (ANAMAN) 816
(ANAMAN) 816            receives (PTKW) 493
(PTKW) 493              receives (SZERYFGES) 905
(SZERYFGES) 905         receives (BARTP) 50
(BARTP) 50              receives (LKOPER) 1197
(LKOPER) 1197           receives (KOJOTOS78) 984
(KOJOTOS78) 984         receives (BRZYDALNAKIEL) 1173
(BRZYDALNAKIEL) 1173    receives (BAQ87) 4
(BAQ87) 4               receives (SOPART PL) 423
(SOPART PL) 423         receives (_AIS_) 964
(_AIS_) 964             receives (SHADOWA) 1182
(SHADOWA) 1182          receives (KRIONAH) 771
(KRIONAH) 771           receives (LIMPINGMAN) 849
(LIMPINGMAN) 849        receives (CHAABER) 753
(CHAABER) 753           receives (BLEBOK) 974
(BLEBOK) 974            receives (ROXAS1231) 1187
(ROXAS1231) 1187        receives (KERUKR) 1208
(KERUKR) 1208           receives (PIRATPLANSZOWEK) 115
(PIRATPLANSZOWEK) 115   receives (THELKAAR) 1153
(THELKAAR) 1153         receives (SWONICK) 1406
(SWONICK) 1406          receives (ADMI99) 71
(ADMI99) 71             receives (ZBAJSZEK) 1089
(ZBAJSZEK) 1089         receives (BARTP) 54
(BARTP) 54              receives (CRSUNIK) 29
(CRSUNIK) 29            receives (OSTRY) 1358
(OSTRY) 1358            receives (ZBAJSZEK) 1085
(ZBAJSZEK) 1085         receives (MALEKITH_86) 15
(MALEKITH_86) 15        receives (CRSUNIK) 448
(CRSUNIK) 448           receives (BAARTOSZZ) 1004
(BAARTOSZZ) 1004        receives (SIEPACZ) 1162
(SIEPACZ) 1162          receives (MEFIUG) 945
(MEFIUG) 945            receives (DDPAGE) 1070
(DDPAGE) 1070           receives (FURAN) 769
(FURAN) 769             receives (WAPNIAK) 685
(WAPNIAK) 685           receives (BSABIK) 1391
(BSABIK) 1391           receives (GIGI) 1040
(GIGI) 1040             receives (ANDRZEYEK) 1128
(ANDRZEYEK) 1128        receives (GOBLA) 300
(GOBLA) 300             receives (SIEPACZ) 1160
(SIEPACZ) 1160          receives (ADALBERT) 1258
(ADALBERT) 1258         receives (SYDONIAA) 103
(SYDONIAA) 103          receives (POKET) 1410
(POKET) 1410            receives (JANPRADER) 861
(JANPRADER) 861         receives (KARRIARI) 839
(KARRIARI) 839          receives (8JANEK8) 779
(8JANEK8) 779           receives (SIEPACZ) 1161
(SIEPACZ) 1161          receives (CIUNIEK) 144
(CIUNIEK) 144           receives (MAT_EYO) 281
(MAT_EYO) 281           receives (PIECHU) 324
(PIECHU) 324            receives (FENIKSPL) 152
(FENIKSPL) 152          receives (FRE1ZEL) 104
